OBJECT_TYPE;TABLE_CATALOG;TABLE_SCHEMA;OBJECT_NAME;DATA_AREA;OBJECT_TYPE;DESCRIPTION;BUSINESS_OWNER_PERSON;BUSINESS_OWNER_DEPARTMENT;DATA_SME;ACTIVE_FLAG;SQL_SAMPLES
TABLE;MO;dbo;L0001_PERFORMANCE_CALC_REPORTS_MAPPING;PERFORMANCE;WORK;Håndtering af Performance_report_name og link til investeringsstruktur og med eller uden FX.  Denne tabel anvendes til at definere RC, RC_U_FX og QC_U_FX;;;;1;
TABLE;MO;dbo;L0001_PERFORMANCE_CALC_RERUN_DATA;PERFORMANCE;WORK;Anvendes til udarbejdes af RAP i excel format;SUSANNE ;DVR;MAJKEN;1;
TABLE;MO;dbo;L0001_PERFORMANCE_CALC_STRATEGIC_BENCHMARK;PERFORMANCE;;;;;;1;
TABLE;MO;dbo;L0001_PERFORMANCE_CALC_STRATEGIC_BENCHMARK_RISIKO_BASERET_OLD;PERFORMANCE;OLD;tabel der håndterede det gamle setup (excel baseret). Er erstattet af view hos Risiko;;;;1;
VIEW;MO;dbo;L0001_PERFORMANCE_CALC_STRATEGIC_BENCHMARK_RISIKO_BASERET_V;PERFORMANCE;WORK;Anvendes til at udstille Strategisk Benchmark Risiko baseret. Kilde er [Risiko].[dbo].[vMO_SBM];;;;1;
TABLE;MO;dbo;L0001_PERFORMANCE_CALC_TRS_ALLOCATION_CONFIG;PERFORMANCE;WORK;Tabel til håndtering af vægte pr. aktive klasse på TRS fordelingerne. Setup'et anvendes ikke mere. Der er bevidst ikke lukket for dette, hvis fordeling af TRS skulle genindføres;;;;0;
TABLE;MO;dbo;L0001_PERFORMANCE_FEE;PERFORMANCE;WORK;Fra Excel ark;;;;1;
VIEW;MO;dbo;L0001_PERFORMANCE_FEE_V;PERFORMANCE;PRESENTATION;Udstilling af fees PKA administration;;;;1;
TABLE;MO;dbo;L0001_PERFORMANCE_MO_MONTHEND_CONFIG;PERFORMANCE;WORK;Tabel der anvendes til at styre latest version af performance.  Versionsid angives pr. data, pr. detail level (Agg og Kasser);;;;1;
TABLE;MO;dbo;L0001_PERFORMANCE_MR_AFKAST;PERFORMANCE;WORK;Markedsrente afkast for PK50 dumpes her. Kilde er en Excel leverance;;;;1;
VIEW;MO;dbo;L0001_PERFORMANCE_NODE_TRANS_KASSE_TEMP_V;PERFORMANCE;;;;;;1;
TABLE;MO;dbo;L0001_PERFORMANCE_RAP_COMMENTS;PERFORMANCE;WORK;Udstiller DVR kommentar til en RAP dataset.    Evt. udstående eller fejlagtige data, fejlberegninger etc;;;;1;
VIEW;MO;dbo;L0001_PERFORMANCE_RAP_EXCEL_AGG_FIXED_V;PERFORMANCE;WORK;Anvendes til udarbejdes af RAP i excel format;SUSANNE ;DVR;MAJKEN;1;
VIEW;MO;dbo;L0001_PERFORMANCE_RAP_EXCEL_AGG_LATEST_V;PERFORMANCE;WORK;Anvendes til udarbejdes af RAP i excel format;SUSANNE ;DVR;MAJKEN;1;
TABLE;MO;dbo;L0001_PERFORMANCE_RAP_EXCEL_DATES;PERFORMANCE;WORK;Anvendes til udarbejdes af RAP i excel format;SUSANNE ;DVR;MAJKEN;1;
VIEW;MO;dbo;L0001_PERFORMANCE_RAP_EXCEL_KASSER_FIXED_V;PERFORMANCE;WORK;Anvendes til udarbejdes af RAP i excel format;SUSANNE ;DVR;MAJKEN;1;
VIEW;MO;dbo;L0001_PERFORMANCE_RAP_EXCEL_KASSER_LATEST_V;PERFORMANCE;WORK;Anvendes til udarbejdes af RAP i excel format;SUSANNE ;DVR;MAJKEN;1;
